Force (N),Position (mm),Time (min),Engineering Stress,Engineering Strain,True Strain,True Stress
16025.6,1.87909,0.487,204.0442765,0.375818,0.319048463,280.7277884
16046.8,1.88141,0.488,204.3142033,0.376282,0.31938566,281.1939603
16065.5,1.88451,0.488,204.5522991,0.376902,0.319836048,281.6484697
16084.2,1.887,0.489,204.7903949,0.3774,0.320197664,282.0782899
16104.4,1.88968,0.49,205.0475892,0.377936,0.320586727,282.5424549
16123.3,1.89178,0.49,205.2882315,0.378356,0.320891485,282.9602656
16142,1.89453,0.491,205.5263273,0.378906,0.321290431,283.4014859
16161.2,1.89673,0.492,205.7707893,0.379346,0.321609474,283.8291151
16179.6,1.90001,0.492,206.0050654,0.380002,0.322084948,284.2874022
16199.8,1.90215,0.493,206.2622598,0.38043,0.322395045,284.7306113
16218.8,1.90487,0.494,206.5041753,0.380974,0.322789047,285.176897
16238.5,1.90725,0.494,206.7550035,0.38145,0.323133672,285.6216995
16259,1.91037,0.495,207.0160176,0.382074,0.323585269,286.1114555
16278.1,1.91246,0.496,207.2592063,0.382492,0.323887668,286.5341947
16298.3,1.91518,0.496,207.5164007,0.383036,0.324281083,287.0026528
16318.1,1.91759,0.497,207.7685021,0.383518,0.324629531,287.4514626
16336.1,1.92072,0.498,207.9976853,0.384144,0.325081898,287.8987481
16357.6,1.92272,0.498,208.2714318,0.384544,0.325370844,288.3609612
16374.7,1.92549,0.499,208.4891557,0.385098,0.325770895,288.7779126
16396.2,1.92791,0.499,208.7629022,0.385582,0.326120268,289.2581196
16417,1.93095,0.5,209.0277361,0.38619,0.326558977,289.7521574
16436.9,1.93358,0.501,209.2811107,0.386716,0.326938362,290.2134647
16456.3,1.93609,0.501,209.5281192,0.387218,0.327300303,290.6611785
16476.9,1.93858,0.502,209.7904065,0.387716,0.32765923,291.1295038
16495.8,1.94124,0.503,210.0310488,0.388248,0.32804252,291.5751835
16517.4,1.94325,0.503,210.3060686,0.38865,0.328332052,292.0415221
16535.5,1.94638,0.504,210.5365249,0.389276,0.328782748,292.4933412
16556.5,1.94885,0.505,210.8039052,0.38977,0.329138266,292.9689434
16576.5,1.95145,0.505,211.0585531,0.39029,0.329512358,293.4325958
16597.3,1.95349,0.506,211.323387,0.390698,0.329805779,293.8870116
16617.6,1.95627,0.507,211.5818546,0.391254,0.330205499,294.3641015
16638.1,1.9586,0.507,211.8428687,0.39172,0.330540392,294.8259572
16657.1,1.9617,0.508,212.0847842,0.39234,0.330985785,295.2941284
16678.5,1.96366,0.509,212.3572575,0.392732,0.331267286,295.7567479
16697.8,1.96664,0.509,212.6029927,0.393328,0.33169513,296.2257026
16718.1,1.96911,0.51,212.8614603,0.393822,0.332049614,296.6909864
16738.8,1.97184,0.511,213.1250209,0.394368,0.332441266,297.1747092
16758.3,1.97492,0.511,213.3733026,0.394984,0.332882946,297.6523432
16778.7,1.97697,0.512,213.6330435,0.395394,0.333176813,298.1022671
16799.1,1.97953,0.512,213.8927844,0.395906,0.333543667,298.574221
16819.5,1.98208,0.513,214.1525252,0.396416,0.333908954,299.0460127
16839.8,1.98414,0.514,214.4109929,0.396828,0.334203952,299.4952783
16859.3,1.98721,0.514,214.6592746,0.397442,0.334643423,299.973886
16880.6,1.98974,0.515,214.9304746,0.397948,0.335005447,300.4616271
16901.7,1.99225,0.516,215.1991281,0.39845,0.33536448,300.9452207
16921.3,1.99435,0.516,215.4486831,0.39887,0.335664768,301.3846993
16942.1,1.99714,0.517,215.7135169,0.399428,0.336063582,301.8755355
16962.8,1.99939,0.518,215.9770775,0.399878,0.33638509,302.3415593
16982.9,2.00214,0.518,216.2329986,0.400428,0.336777904,302.8187458
17004.3,2.00449,0.519,216.5054719,0.400898,0.33711346,303.3020826
17025.5,2.00728,0.52,216.7753987,0.401456,0.337511696,303.8011831
17046,2.00952,0.52,217.0364128,0.401904,0.337831313,304.2642152
17066.2,2.0126,0.521,217.2936072,0.40252,0.338270619,304.7586299
17087.2,2.01464,0.522,217.5609875,0.402928,0.338561481,305.2224011
17108.3,2.01745,0.522,217.829641,0.40349,0.338961992,305.7217229
17128.9,2.01967,0.523,218.0919284,0.403934,0.339278296,306.1866734
17149.8,2.02271,0.524,218.3580354,0.404542,0.339711271,306.6930318
17172.1,2.02476,0.524,218.6419679,0.404952,0.340003139,307.18147
17191.8,2.02761,0.525,218.8927961,0.405522,0.340408764,307.6586405
17213.2,2.03024,0.525,219.1652693,0.406048,0.340782932,308.1568886
17234.2,2.03316,0.526,219.4326496,0.406632,0.341198195,308.6609868
17254,2.03591,0.527,219.684751,0.407182,0.341589123,309.1364274
17277,2.03839,0.527,219.9775961,0.407678,0.341941538,309.6576226
17297.1,2.04093,0.528,220.2335173,0.408186,0.342302351,310.1297558
17317.8,2.0433,0.529,220.4970779,0.40866,0.342638898,310.6054137
17338.6,2.046,0.529,220.7619117,0.4092,0.343022167,311.097686
17357.9,2.04808,0.53,221.0076469,0.409616,0.343317327,311.5359152
17379.4,2.05068,0.531,221.2813934,0.410136,0.343686154,312.036859
17400.3,2.05312,0.531,221.5475005,0.410624,0.34403216,312.5202213
17418.4,2.05511,0.532,221.7779569,0.411022,0.344314265,312.9335762
17441.9,2.05805,0.533,222.0771682,0.41161,0.344730897,313.4863513
17463.1,2.0607,0.533,222.3470949,0.41214,0.345106284,313.9852266
17482.9,2.06365,0.534,222.5991964,0.41273,0.345524003,314.4725627
17505.9,2.06576,0.535,222.8920415,0.413152,0.34582267,314.9803342
17527.8,2.06812,0.535,223.1708809,0.413624,0.34615662,315.4797134
17549,2.07041,0.536,223.4408077,0.414082,0.346480557,315.9636242
17570.3,2.07366,0.537,223.7120077,0.414732,0.346940114,316.4925361
17590.3,2.07586,0.537,223.9666556,0.415172,0.347251078,316.95134
17613.2,2.07882,0.538,224.2582275,0.415764,0.347669315,317.4967252
17634.5,2.08096,0.538,224.5294275,0.416192,0.347971579,317.976779
17655.6,2.08375,0.539,224.7980811,0.41675,0.348365516,318.4826813
17677.8,2.08586,0.54,225.0807402,0.417172,0.348663337,318.9781228
17699.6,2.08825,0.54,225.3583065,0.41765,0.349000571,319.4792032
17719.6,2.09093,0.541,225.6129544,0.418186,0.34937859,319.9611333
17743.5,2.09375,0.542,225.9172586,0.41875,0.349776202,320.5201107
17764.9,2.09588,0.542,226.1897319,0.419176,0.350076421,321.0030389
17786.8,2.09827,0.543,226.4685713,0.419654,0.35041318,321.5070132
17809,2.10087,0.544,226.7512305,0.420174,0.350779399,322.0262021
17830.1,2.10385,0.544,227.0198841,0.42077,0.351198978,322.5430407
17851.6,2.1063,0.545,227.2936306,0.42126,0.351543802,323.0433454
17874,2.10827,0.546,227.5788362,0.421654,0.351820983,323.5383628
17895.7,2.11089,0.546,227.8551292,0.422178,0.352189499,324.0505519
17918.1,2.11378,0.547,228.1403349,0.422756,0.352595836,324.5880303
17939.5,2.11589,0.548,228.4128081,0.423178,0.352892399,325.0720834
17961.4,2.1183,0.548,228.6916476,0.42366,0.35323102,325.579151
17983.5,2.12087,0.549,228.9730335,0.424174,0.353591997,326.0974411
18004.4,2.12388,0.55,229.2391406,0.424776,0.354014608,326.6144258
18025.3,2.12661,0.55,229.5052477,0.425322,0.354397753,327.1188786
18048,2.12891,0.551,229.794273,0.425782,0.354720435,327.6365382
18068.9,2.13113,0.551,230.0603801,0.426226,0.355031795,328.1180957
18094.2,2.13376,0.552,230.3825097,0.426752,0.355400532,328.6987065
18115,2.13586,0.553,230.6473435,0.427172,0.355694864,329.1734306
18139.2,2.13849,0.553,230.9554675,0.427698,0.356063357,329.734659
18161.3,2.14087,0.554,231.2368534,0.428174,0.356396705,330.2464619
18181.6,2.14366,0.555,231.4953211,0.428732,0.356787338,330.7447731
18205.4,2.14576,0.555,231.7983521,0.429152,0.357081261,331.2750785
18228.3,2.14818,0.556,232.0899239,0.429636,0.357419866,331.8041105
18249.9,2.15153,0.557,232.3649437,0.430306,0.357888407,332.3529731
18274,2.15366,0.557,232.6717944,0.430732,0.358186201,332.8909818
18295.5,2.15637,0.558,232.9455409,0.431274,0.358564957,333.4088961
18318.9,2.15862,0.559,233.243479,0.431724,0.358879313,333.9402867
18342.1,2.16078,0.559,233.5388705,0.432156,0.359181001,334.4640947
18365.5,2.16352,0.56,233.8368086,0.432704,0.359563568,335.018931
18388.3,2.16621,0.561,234.1271072,0.433242,0.359939011,335.5608034
18411.1,2.16844,0.561,234.4174058,0.433688,0.360250145,336.0814217
18434.1,2.17065,0.562,234.7102509,0.43413,0.360558394,336.6050121
18457.4,2.17296,0.562,235.0069157,0.434592,0.360880488,337.1390413
18480.3,2.17534,0.563,235.2984876,0.435068,0.361212235,337.66933
18503.5,2.17829,0.564,235.5938792,0.435658,0.361623281,338.2322374
18526.8,2.18049,0.564,235.890544,0.436098,0.361929713,338.7619384
18548.4,2.18325,0.565,236.1655637,0.43665,0.362314014,339.2872571
18572.6,2.18512,0.566,236.4736877,0.437024,0.362574308,339.8183646
18596.6,2.1881,0.566,236.7792652,0.43762,0.362988968,340.3986072
18620.3,2.19029,0.567,237.0810229,0.438058,0.363293592,340.9362617
18644.9,2.19295,0.568,237.3942399,0.43859,0.363663467,341.5129795
18666.4,2.19495,0.568,237.6679864,0.43899,0.363941479,342.0018557
18689.7,2.1979,0.569,237.9646512,0.43958,0.364351404,342.5691526
18712.9,2.20012,0.57,238.2600428,0.440024,0.36465978,343.1001798
18734.6,2.20286,0.57,238.5363357,0.440572,0.365040257,343.6287663
18759.4,2.20546,0.571,238.8520992,0.441092,0.36540116,344.2078493
18783.6,2.20731,0.572,239.1602231,0.441462,0.365657876,344.7403735
18806.1,2.21059,0.572,239.446702,0.442118,0.366112866,345.310399
18828.2,2.21245,0.573,239.728088,0.44249,0.366370787,345.8053696
18852.7,2.21533,0.574,240.0400317,0.443066,0.366770017,346.3936083
18877.6,2.21715,0.574,240.3570683,0.44343,0.367022226,346.9386031
18901.4,2.21948,0.575,240.6600993,0.443896,0.367345016,347.4881548
18923.6,2.22197,0.575,240.9427585,0.444394,0.367689856,348.0162747
18950,2.22482,0.576,241.2788937,0.444964,0.368084408,348.6393154
18971.9,2.22692,0.577,241.5577332,0.445384,0.36837503,349.1436826
18995.8,2.22985,0.577,241.8620374,0.44597,0.368780377,349.7252503
19018.7,2.23198,0.578,242.1536093,0.446396,0.369074945,350.2500119
19041.7,2.23469,0.579,242.4464544,0.446938,0.369449599,350.8049878
19066,2.23668,0.579,242.7558516,0.447336,0.369724625,351.3492832
19090.8,2.23935,0.58,243.071615,0.44787,0.370093511,351.9360992
19113.9,2.24245,0.581,243.3657333,0.44849,0.370521635,352.5128311
19139.6,2.24443,0.581,243.6929559,0.448886,0.370794985,353.0833121
19161.4,2.2471,0.582,243.9705221,0.44942,0.371163476,353.6157542
19185.4,2.24935,0.583,244.2760996,0.44987,0.371473897,354.1685885
19209.7,2.25146,0.583,244.5854968,0.450292,0.371764915,354.7203894
19233,2.25416,0.584,244.8821616,0.450832,0.372137185,355.2828763
19259,2.25608,0.585,245.2132039,0.451216,0.372401826,355.8573249
19284.7,2.2584,0.585,245.5404265,0.45168,0.372721506,356.4461263
19308.4,2.26089,0.586,245.8421843,0.452178,0.373064498,357.0066114
19334.2,2.26375,0.587,246.1706801,0.45275,0.373458312,357.6244555
19357.6,2.2664,0.587,246.4686181,0.45328,0.373823071,358.1879133
19381.7,2.26863,0.588,246.7754688,0.453726,0.374129916,358.7439152
19405.8,2.27155,0.588,247.0823196,0.45431,0.374531561,359.3342882
19429.4,2.27317,0.589,247.3828041,0.454634,0.374754323,359.8514379
19455.3,2.27607,0.59,247.7125731,0.455214,0.375152969,360.4748044
19479.9,2.27827,0.59,248.0257901,0.455654,0.375455284,361.0397334
19504.3,2.2804,0.591,248.3364605,0.45608,0.375747893,361.5977534
19530.4,2.28302,0.592,248.668776,0.456604,0.376107699,362.2119339
19553.4,2.28568,0.592,248.9616211,0.457136,0.376472865,362.7709408
19578.7,2.28835,0.593,249.2837507,0.45767,0.376839271,363.3734449
19603,2.29026,0.594,249.593148,0.458052,0.377101298,363.9197886
19627.8,2.29268,0.594,249.9089114,0.458536,0.377433193,364.5011439
19651,2.29515,0.595,250.2043029,0.45903,0.377771831,365.0555841
19676.8,2.29801,0.596,250.5327987,0.459602,0.378163796,365.6781741
19700.5,2.29995,0.596,250.8345565,0.45999,0.378429586,366.2159442
19725,2.30236,0.597,251.1465002,0.460472,0.378759671,366.7924314
19749.4,2.30446,0.598,251.4571706,0.460892,0.379047208,367.3517689
19774.8,2.30665,0.598,251.7805735,0.46133,0.37934698,367.9345055
19801.1,2.30926,0.599,252.1154355,0.461852,0.379704125,368.5554536
19825.5,2.31141,0.6,252.4261059,0.462282,0.379998229,369.118151
19849.9,2.3141,0.6,252.7367764,0.46282,0.38036608,369.7084112
19878.3,2.31666,0.601,253.0983764,0.463332,0.380716027,370.3669534
19903,2.31879,0.601,253.4128666,0.463758,0.381007101,370.9351108
19929.6,2.32136,0.602,253.7515483,0.464272,0.381358191,371.5612871
19953.2,2.32407,0.603,254.0520328,0.464814,0.381728272,372.1389744
19978.7,2.32618,0.603,254.3767089,0.465236,0.382016322,372.7219115
20003.9,2.32834,0.604,254.6975653,0.465668,0.382311111,373.3020711
20029.2,2.33093,0.605,255.0196949,0.466186,0.382664471,373.9063064
20054.2,2.33362,0.605,255.3380048,0.466724,0.383031342,374.5103797
20079.2,2.33554,0.606,255.6563147,0.467108,0.383293116,375.0754245
20104.2,2.3378,0.607,255.9746246,0.46756,0.383601158,375.65812
20130.1,2.34041,0.607,256.3043936,0.468082,0.383956787,376.2758668
20154.7,2.34319,0.608,256.6176105,0.468638,0.384335441,376.8783743
20181,2.34515,0.609,256.9524725,0.46903,0.384602319,377.4708907
20207.3,2.34735,0.609,257.2873345,0.46947,0.384901792,378.0760195
20232.3,2.34999,0.61,257.6056444,0.469998,0.38526104,378.6797821
20257.4,2.35255,0.611,257.9252275,0.47051,0.385609279,379.2816263
20283.8,2.35473,0.611,258.2613628,0.470946,0.385905731,379.8885185
20309.8,2.35758,0.612,258.5924051,0.471516,0.386293162,380.5228615
20335.3,2.35953,0.613,258.9170811,0.471906,0.38655816,381.1016052
20360.8,2.36216,0.613,259.2417572,0.472432,0.386915456,381.7158591
20387.8,2.36417,0.614,259.5855319,0.472834,0.387188436,382.3263973
20414,2.36634,0.614,259.9191207,0.473268,0.387483063,382.9305231
20438.9,2.36933,0.615,260.2361573,0.473866,0.387888881,383.5532242
20466.4,2.37156,0.616,260.5862982,0.474312,0.38819144,384.1855064
20490.6,2.37364,0.616,260.8944222,0.474728,0.388473566,384.7483094
20516.1,2.37582,0.617,261.2190982,0.475164,0.38876917,385.3410098
20542.9,2.37834,0.618,261.5603264,0.475668,0.389110769,385.9762038
20570,2.38102,0.618,261.9053744,0.476204,0.389473928,386.6257612
20595.7,2.38305,0.619,262.2325969,0.47661,0.38974892,387.2152749
20621.8,2.38526,0.62,262.5649124,0.477052,0.390048209,387.822029
20647.9,2.38776,0.62,262.897228,0.477552,0.390386664,388.444325
20674.3,2.39047,0.621,263.2333632,0.478094,0.39075342,389.0836547
20699.1,2.39251,0.622,263.5491266,0.478502,0.391029413,389.6579108
20726.1,2.3947,0.622,263.8929013,0.47894,0.391325615,390.2817674
20752.5,2.39718,0.623,264.2290365,0.479436,0.391660934,390.9099489
20777.6,2.40001,0.624,264.5486196,0.480002,0.392043439,391.5324862
20802.8,2.40231,0.624,264.869476,0.480462,0.392354201,392.1291942
20830.3,2.40477,0.625,265.2196169,0.480954,0.392686475,392.7780525
20855.8,2.40677,0.625,265.544293,0.481354,0.392956534,393.3651006
20883.9,2.40944,0.626,265.9020733,0.481888,0.39331695,394.0370916
20908.6,2.41197,0.627,266.2165635,0.482394,0.393658348,394.6378364
20935.6,2.41416,0.627,266.5603381,0.482832,0.393953773,395.2641993
20963.4,2.4161,0.628,266.9142987,0.48322,0.3942154,395.8926261
20989,2.41883,0.629,267.240248,0.483766,0.39458345,396.5219939
21015.9,2.4213,0.629,267.5827495,0.48426,0.394916332,397.1623717
21043,2.42347,0.63,267.9277974,0.484694,0.39520869,397.7907932
21068.6,2.4255,0.631,268.2537467,0.4851,0.39548211,398.3836393
21096.7,2.42804,0.631,268.611527,0.485608,0.395824116,399.0514335
21121.8,2.43002,0.632,268.9311102,0.486004,0.396090638,399.6327054
21149.2,2.43259,0.633,269.2799778,0.486518,0.396436472,400.289534
21176,2.43477,0.633,269.621206,0.486954,0.396729732,400.9143307
21202,2.43746,0.634,269.9522483,0.487492,0.39709148,401.5518097
21229.8,2.43931,0.635,270.3062089,0.487862,0.39734019,402.1783365
21256.5,2.44214,0.635,270.6461638,0.488428,0.397720529,402.8373283
21283.2,2.44419,0.636,270.9861188,0.488838,0.39799595,403.4544311
21310.7,2.44668,0.637,271.3362597,0.489336,0.398330383,404.1108596
21336.4,2.4487,0.637,271.6634822,0.48974,0.398601608,404.707956
21364.7,2.45148,0.638,272.023809,0.490296,0.398974758,405.3959945
21392.3,2.45347,0.638,272.3752231,0.490694,0.399241783,406.0281109
21419.7,2.45609,0.639,272.7240908,0.491218,0.399593236,406.6910732
21447.2,2.45859,0.64,273.0742316,0.491718,0.399928476,407.3497467
21475.4,2.46069,0.64,273.4332852,0.492138,0.400209991,408.0001953
21501,2.46276,0.641,273.7592345,0.492552,0.400487407,408.599893
21529,2.4649,0.642,274.1157416,0.49298,0.400774123,409.2493199
21556.8,2.46784,0.642,274.4697022,0.493568,0.401167888,409.9391641
21584.1,2.46995,0.643,274.8172966,0.49399,0.401450393,410.5742929
21613,2.47193,0.644,275.1852628,0.494386,0.40171542,411.2330041
21639.2,2.47454,0.644,275.5188516,0.494908,0.402064666,411.8753354
21666.5,2.47683,0.645,275.866446,0.495366,0.402370993,412.5213038
21694,2.47871,0.646,276.2165868,0.495742,0.402622405,413.14875
21721.5,2.48124,0.646,276.5667277,0.496248,0.402960641,413.8124132
21748.9,2.48333,0.647,276.9155953,0.496666,0.403239968,414.4501564
21777.7,2.48609,0.648,277.2822883,0.497218,0.403608719,415.1520332
21803.7,2.48794,0.648,277.6133306,0.497588,0.403855814,415.7503926
21832.3,2.4907,0.649,277.9774771,0.49814,0.404224339,416.4491776
21858.6,2.49291,0.65,278.3123391,0.498582,0.404519328,417.0738618
21888.2,2.49545,0.65,278.689218,0.49909,0.404858257,417.7802199
21914.9,2.49736,0.651,279.029173,0.499472,0.405113046,418.3964321
21970,2.50225,0.652,279.730728,0.50045,0.405765063,419.7219708
